instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
slli,I,RV32;RV64,asm;hdl,8,31,33,0,0,software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S;software/firemarshal/test/bare/crt.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
rem,M,RV32;RV64,hdl,0,38,38,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
srai,I,RV32;RV64,asm;hdl,5,31,32,0,0,generators/testchipip/src/main/resources/testchipip/bootrom/bootrom.S;software/baremetal-ide/platform/bearlyml23/startup/bootrom.S;software/baremetal-ide/platform/eaglex/boot/bootrom.S;software/baremetal-ide/platform/fe310/boot/bootrom.S;software/baremetal-ide/platform/robo23/startup/bootrom.S
slt,I,RV32;RV64,hdl,0,35,35,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
sltu,I,RV32;RV64,hdl,0,34,34,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
wfi,Sm,RV32;RV64,asm;hdl,7,26,28,0,0,software/baremetal-ide/glossy/src/startup/secondary.c;software/baremetal-ide/platform/bearlyml23/startup/bootrom.S;software/baremetal-ide/platform/eaglex/boot/bootrom.S;software/baremetal-ide/platform/fe310/boot/bootrom.S;software/baremetal-ide/platform/robo23/startup/bootrom.S
andi,I,RV32;RV64,asm;hdl,11,21,26,0,0,software/baremetal-ide/driver/national-semiconductor/ns16550a/ns16550a.S;software/baremetal-ide/platform/eaglex/boot/bootrom.S;software/baremetal-ide/platform/fe310/boot/bootrom.S;software/baremetal-ide/platform/robo23/startup/bootrom.S;software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S
srli,I,RV32;RV64,hdl,0,31,31,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
lui,I,RV32;RV64,asm;hdl,2,28,28,0,0,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/common/consts.scala;generators/boom/src/main/scala/v4/exu/decode.scala;software/baremetal-ide/platform/qemuvirt/boot/startup.S
mret,Sm,RV32;RV64,asm;hdl,17,13,16,0,0,software/baremetal-ide/platform/robo23/startup/startup.S;software/firemarshal/test/bare/crt.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
