extension,isa_bases,distinct_instructions,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,evidence_kind,instructions,sample_files
Zbs,RV32;RV64,8,0,79,79,0,0,hdl,bclr;bclri;bext;bexti;binv;binvi;bset;bseti,generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/rocket/Instructions32.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
H,RV32;RV64,15,0,77,77,0,0,hdl,hfence.gvma;hfence.vvma;hlv.b;hlv.bu;hlv.d;hlv.h;hlv.hu;hlv.w;hlv.wu;hlvx.hu;hlvx.wu;hsv.b;hsv.d;hsv.h;hsv.w,generators/rocket-chip/src/main/scala/rocket/CSR.scala;generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Q,RV32;RV64,34,0,68,68,0,0,hdl,fadd.q;fclass.q;fcvt.d.q;fcvt.h.q;fcvt.l.q;fcvt.lu.q;fcvt.q.d;fcvt.q.h;fcvt.q.l;fcvt.q.lu;fcvt.q.s;fcvt.q.w;fcvt.q.wu;fcvt.s.q;fcvt.w.q;fcvt.wu.q;fdiv.q;feq.q;fle.q;flq;flt.q;fmadd.q;fmax.q;fmin.q;fmsub.q;fmul.q;fnmadd.q;fnmsub.q;fsgnj.q;fsgnjn.q;fsgnjx.q;fsq;fsqrt.q;fsub.q,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Sm,RV32;RV64,2,24,39,44,0,0,asm;hdl,mret;wfi,software/baremetal-ide/glossy/src/startup/secondary.c;software/baremetal-ide/platform/bearlyml23/startup/bootrom.S;software/baremetal-ide/platform/eaglex/boot/bootrom.S;software/baremetal-ide/platform/fe310/boot/bootrom.S;software/baremetal-ide/platform/robo23/startup/bootrom.S
Zba,RV32;RV64,8,0,59,59,0,0,hdl,add.uw;sh1add;sh1add.uw;sh2add;sh2add.uw;sh3add;sh3add.uw;slli.uw,generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
Zca,RV32;RV64,26,0,33,33,0,0,hdl,c.add;c.addi;c.addi16sp;c.addi4spn;c.and;c.andi;c.beqz;c.bnez;c.ebreak;c.j;c.jalr;c.jr;c.li;c.lui;c.lw;c.lwsp;c.mv;c.nop;c.or;c.slli;c.srai;c.srli;c.sub;c.sw;c.swsp;c.xor,fpga/fpga-shells/src/main/scala/ip/microsemi/polarfire_pcie_rootport/PolarFirePCIeRootPort.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/rocket/Instructions32.scala;tools/firrtl2/src/main/scala/firrtl2/backends/experimental/smt/FirrtlToTransitionSystem.scala;tools/stage-chisel7/src/main/scala/ChipyardStage.scala
Zalrsc,RV32;RV64,4,0,32,32,0,0,hdl,lr.d;lr.w;sc.d;sc.w,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zknh,RV32;RV64,14,0,28,28,0,0,hdl,sha256sig0;sha256sig1;sha256sum0;sha256sum1;sha512sig0;sha512sig0h;sha512sig0l;sha512sig1;sha512sig1h;sha512sig1l;sha512sum0;sha512sum0r;sha512sum1;sha512sum1r,generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/rocket/Instructions32.scala
S,RV32;RV64,2,1,26,26,0,0,asm;hdl,sfence.vma;sret,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/rocket/CSR.scala;generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zfhmin,RV32;RV64,4,0,24,24,0,0,hdl,flh;fmv.h.x;fmv.x.h;fsh,generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/tile/FPU.scala
Zbkb,RV32;RV64,6,0,16,15,1,0,hdl,brev8;pack;packh;packw;unzip;zip,fpga/fpga-shells/src/main/scala/ip/xilinx/Unisim.scala;fpga/fpga-shells/src/main/scala/shell/xilinx/SPIFlashXilinxOverlay.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/rocket/Instructions32.scala;sims/firesim/sim/midas/src/main/scala/midas/widgets/PlusArgsBridge.scala
Sdext,RV32;RV64,1,2,13,15,0,0,asm;hdl,dret,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/scripts/debug_rom/debug_rom.S;generators/rocket-chip/scripts/debug_rom/debug_rom_nonzero.S;generators/rocket-chip/src/main/scala/rocket/IDecode.scala
Zifencei,RV32;RV64,1,1,13,14,0,0,asm;hdl,fence.i,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Svinval,RV32;RV64,5,0,10,10,0,0,hdl,hinval.gvma;hinval.vvma;sfence.inval.ir;sfence.w.inval;sinval.vma,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zknd,RV32;RV64,5,0,10,10,0,0,hdl,aes32dsi;aes32dsmi;aes64ds;aes64dsm;aes64im,generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/rocket/Instructions32.scala
C,RV32;RV64,8,0,8,8,0,0,hdl,c.addiw;c.addw;c.jal;c.ld;c.ldsp;c.sd;c.sdsp;c.subw,generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/rocket/Instructions32.scala
Zicond,RV32;RV64,2,0,8,8,0,0,hdl,czero.eqz;czero.nez,generators/rocket-chip/src/main/scala/rocket/IDecode.scala;generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zkne,RV32;RV64,4,0,8,8,0,0,hdl,aes32esi;aes32esmi;aes64es;aes64esm,generators/rocket-chip/src/main/scala/rocket/Instructions.scala;generators/rocket-chip/src/main/scala/rocket/Instructions32.scala
Smrnmi,RV32;RV64,1,0,6,6,0,0,hdl,mnret,generators/rocket-chip/src/main/scala/rocket/CSR.scala;generators/rocket-chip/src/main/scala/rocket/CustomInstructions.scala;generators/rocket-chip/src/main/scala/rocket/IDecode.scala
Zicbom,RV32;RV64,3,0,6,6,0,0,hdl,cbo.clean;cbo.flush;cbo.inval,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zihintpause,RV32;RV64,1,0,5,5,0,0,hdl,pause,generators/rocket-chip/src/main/scala/jtag/JtagStateMachine.scala;tools/rocket-dsp-utils/src/main/scala/freechips/rocketchip/jtag2mm/JtagStateMachine.scala;tools/rocket-dsp-utils/src/test/scala/sam/SAMSpec.scala
Zbkx,RV32;RV64,2,0,4,4,0,0,hdl,xperm4;xperm8,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zcd,RV32;RV64,4,0,4,4,0,0,hdl,c.fld;c.fldsp;c.fsd;c.fsdsp,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zcf,RV32,4,0,4,4,0,0,hdl,c.flw;c.flwsp;c.fsw;c.fswsp,generators/rocket-chip/src/main/scala/rocket/Instructions32.scala
Zkn,RV64,2,0,4,4,0,0,hdl,aes64ks1i;aes64ks2,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zksed,RV32;RV64,2,0,4,4,0,0,hdl,sm4ed;sm4ks,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zksh,RV32;RV64,2,0,4,4,0,0,hdl,sm3p0;sm3p1,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zbc,RV32;RV64,1,0,2,2,0,0,hdl,clmulr,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
Zicboz,RV32;RV64,1,0,2,2,0,0,hdl,cbo.zero,generators/rocket-chip/src/main/scala/rocket/Instructions.scala
